msa_name,year,msa_no,normusaspminpop,normusasminorestab,MinorityUsasp,normusaswompop,normusaswomestab,WomanUsasp,normawardestab,normawardpop,AwardAmount,normsampop1000,normsamestab,ann_sam_registrations,normwompop1000,normwomestab,Woman,normminorpop1000,normminorest,Minority,normcdfipop10000,normcdfiestab10000,cumulativecdfi,normmdipop10000,normmdiestab10000,UnemploymentRate,UnemploymentPerCapita,AvgAverageWeeklyWage,EstablishmentCount,AvgPopulation
"Columbia, SC MSA",2020,17900,21793,883381,58380046,4128,167316,11057418,1430753,35296,94554213,191,8,513,560,23,1500,881,36,2361,0,0,4,0,0,21,0,954,82489,835817
"Columbia, SC MSA",2021,17900,747,22249,2000667,970,28896,2598366,122496,4112,11014872,87,3,234,271,8,725,423,13,1132,,,,0,0,15,0,969,63127,835817
"Columbus, GA-AL MSA",2019,17980,137,7280,271401,3943,210178,7835591,580867,10897,21655146,81,4,160,288,15,572,339,18,674,0,0,1,,,17,0,846,24460,325908
"Columbus, GA-AL MSA",2020,17980,330,16800,654859,2573,131187,5113538,1611698,31613,62822443,118,6,234,350,18,695,471,24,935,0,0,1,,,27,0,892,25578,325908
"Columbus, GA-AL MSA",2021,17980,249,9022,495395,225,8142,447078,550513,15212,30229968,50,2,99,182,7,362,244,9,485,,,,,,16,0,918,20266,325908
"Columbus, IN MSA",2019,18020,0,0,0,7,290,13909,290,7,13909,9,0,18,48,2,100,17,1,36,,,,,,10,0,1102,7682,82804
"Columbus, IN MSA",2020,18020,0,0,0,3,139,6823,139,3,6823,11,0,22,49,2,102,27,1,56,,,,,,26,0,1118,7878,82804
"Columbus, IN MSA",2021,18020,0,0,0,0,0,0,0,0,0,8,0,17,23,1,48,12,0,24,,,,,,12,0,1169,5980,82804
"Columbus, OH MSA",2019,18140,76124,3210672,280622895,2551,107613,9405673,12070864,286196,1055031741,136,6,502,491,21,1809,483,20,1781,0,0,4,,,14,0,1069,202793,2138110
"Columbus, OH MSA",2020,18140,187338,7686395,690601470,1339,54934,4935677,27481704,669802,2469155746,210,9,774,524,21,1931,535,22,1972,0,0,5,,,28,0,1152,208465,2138110
"Columbus, OH MSA",2021,18140,101950,3016080,375829272,36,1070,133344,3944914,133347,491569865,102,3,377,243,7,896,272,8,1003,,,,,,18,0,1165,162633,2138110
"Corpus Christi, TX MSA",2019,18580,17926,752559,32248422,2141,89863,3850789,839831,20005,35988163,69,3,124,221,9,397,303,13,545,,,,,,17,0,939,40452,424555
"Corpus Christi, TX MSA",2020,18580,8716,362106,15679302,453,18829,815289,587129,14132,25422841,74,3,133,191,8,343,288,12,518,,,,,,37,1,974,40876,424555
"Corpus Christi, TX MSA",2021,18580,3689,114018,6636804,0,0,0,297381,9622,17310089,32,1,58,89,3,161,125,4,225,,,,,,30,0,974,30909,424555
